8 degree,,,15 degree,,,45 degree,,,90 degree,,
Extension (mm),Load (N),N.mm,Extension (mm),Load (N),N.mm,Extension (mm),Load (N),N.mm,Extension (mm),Load (N),N.mm
0.06011,51.59,0.020636,0.05972,61.83,0.024732,0.06105,69.72,0.027888,0.06046,91.92,0.036768
0.06051,52.01,0.026005,0.06012,62.29,0.024916,0.06145,70.12,0.028048,0.06086,92.54,0.037016
0.06101,52.47,0.020988,0.06052,62.54,0.025016,0.06185,70.6,0.02824,0.06126,92.72,0.037088
0.06141,53.04,0.021216,0.06092,63.13,0.031565,0.06225,70.85,0.02834,0.06166,93.43,0.037372
0.06181,53.24,0.02662,0.06142,63.47,0.025388,0.06265,71.31,0.028524,0.06206,93.94,0.037576
0.06231,53.69,0.026845,0.06182,64.03,0.025612,0.06305,71.81,0.028724,0.06246,94.54,0.037816
0.06281,54.08,0.021632,0.06222,64.2,0.0321,0.06345,72.19,0.028876,0.06286,95.03,0.038012
0.06321,54.53,0.021812,0.06272,64.74,0.03237,0.06385,72.76,0.029104,0.06326,95.51,0.038204
0.06361,54.88,0.02744,0.06322,65.12,0.03256,0.06425,73.03,0.029212,0.06366,95.88,0.038352
0.06411,55.19,0.022076,0.06372,65.5,0.0262,0.06465,73.55,0.02942,0.06406,96.46,0.038584
0.06451,55.61,0.022244,0.06412,65.88,0.026352,0.06505,74.07,0.029628,0.06446,97.09,0.048545
0.06491,55.97,0.027985,0.06452,66.23,0.026492,0.06545,74.5,0.0298,0.06496,97.55,0.03902
0.06541,56.21,0.022484,0.06492,66.5,0.0266,0.06585,75.01,0.030004,0.06536,97.65,0.03906
0.06581,56.67,0.022668,0.06532,66.9,0.03345,0.06625,75.38,0.030152,0.06576,97.98,0.039192
0.06621,56.92,0.022768,0.06582,67.3,0.02692,0.06665,75.69,0.030276,0.06616,98.54,0.04927
0.06661,57.47,0.022988,0.06622,67.72,0.027088,0.06705,76.16,0.03808,0.06666,98.96,0.039584
0.06701,57.75,0.017325,0.06662,68.05,0.02722,0.06755,76.61,0.030644,0.06706,99.48,0.039792
0.06731,57.92,0.023168,0.06702,68.31,0.027324,0.06795,77.07,0.030828,0.06746,99.67,0.049835
0.06771,58.33,0.023332,0.06742,68.48,0.027392,0.06835,77.56,0.031024,0.06796,100.2,0.04008
0.06811,58.64,0.023456,0.06782,69.11,0.034555,0.06875,77.99,0.031196,0.06836,100.5,0.05025
0.06851,59.05,0.02362,0.06832,69.3,0.02772,0.06915,78.42,0.031368,0.06886,101.32,0.040528
0.06891,59.31,0.023724,0.06872,69.72,0.027888,0.06955,78.84,0.031536,0.06926,101.88,0.05094
0.06931,59.87,0.023948,0.06912,70.05,0.02802,0.06995,79.35,0.03174,0.06976,102.18,0.040872
0.06971,60.32,0.024128,0.06952,70.34,0.028136,0.07035,79.93,0.039965,0.07016,102.65,0.04106
0.07011,60.37,0.024148,0.06992,70.69,0.021207,0.07085,80.47,0.032188,0.07056,102.91,0.041164
0.07051,60.84,0.024336,0.07022,70.96,0.03548,0.07125,80.78,0.032312,0.07096,102.14,0.040856
0.07091,61.21,0.030605,0.07072,71.38,0.028552,0.07165,81.38,0.032552,0.07136,101.1,0.05055
0.07141,61.77,0.024708,0.07112,71.72,0.028688,0.07205,81.87,0.040935,0.07186,101.54,0.040616
0.07181,62.22,0.024888,0.07152,72.36,0.028944,0.07255,82.29,0.032916,0.07226,102.39,0.040956
0.07221,62.34,0.024936,0.07192,72.53,0.021759,0.07295,82.69,0.033076,0.07266,102.97,0.041188
0.07261,62.81,0.025124,0.07222,72.81,0.036405,0.07335,83.2,0.0416,0.07306,103.64,0.041456
0.07301,63.08,0.025232,0.07272,73.12,0.029248,0.07385,83.87,0.033548,0.07346,104.12,0.041648
0.07341,63.5,0.0254,0.07312,73.51,0.036755,0.07425,84.26,0.04213,0.07386,104.71,0.041884
0.07381,63.93,0.025572,0.07362,73.99,0.029596,0.07475,84.84,0.033936,0.07426,105.24,0.042096
0.07421,64.22,0.025688,0.07402,74.33,0.029732,0.07515,85.34,0.04267,0.07466,105.68,0.042272
0.07461,64.44,0.025776,0.07442,74.59,0.029836,0.07565,85.67,0.034268,0.07506,106.32,0.042528
0.07501,64.91,0.025964,0.07482,75.1,0.03004,0.07605,86.09,0.034436,0.07546,106.99,0.042796
0.07541,65.12,0.03256,0.07522,75.32,0.030128,0.07645,86.52,0.034608,0.07586,107.47,0.042988
0.07591,65.4,0.02616,0.07562,75.64,0.030256,0.07685,87.07,0.043535,0.07626,107.25,0.0429
